,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
0,40030.0,1,7,0,9,74.0,14.0,7,3.216666666666667,1,0,37903,0.5263,0.5263,410.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,21621.0,0,5,0,8,55.0,24.0,5,2.3833333333333333,1,0,42319,0.3718,0.4304,404.0,0.5109052671376922,-0.058599999999999985,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,12622.0,0,5,0,9,48.0,7.0,6,3.183333333333333,1,0,45971,0.6053,0.3289,410.0,0.2745643992952079,0.2763999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,18531.0,0,8,1,8,65.0,10.0,4,2.8833333333333333,0,1,41084,0.3377,0.5897,400.0,0.4510515042352254,-0.252,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,18572.0,1,8,0,8,77.0,0.0,7,2.65,0,1,48686,0.45,0.4805,407.0,0.38146489750647006,-0.03049999999999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,28386.0,1,11,1,7,81.0,12.0,12,3.5,0,1,48114,0.6538,0.5065,400.0,0.5899738121960344,0.1473000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,12757.0,0,9,1,7,72.0,0.0,5,3.1166666666666667,1,0,31042,0.4211,0.5316,404.0,0.4109593454030024,-0.11049999999999999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,28329.0,0,6,1,2,70.0,6.0,3,2.6,0,1,40209,0.4231,0.5443,396.0,0.7045437588599567,-0.12120000000000003,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,26049.0,1,8,2,12,40.0,7.0,11,3.45,1,0,38362,0.4744,0.5263,399.0,0.679031333090037,-0.0519,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,10478.0,0,11,0,10,70.0,8.0,9,3.466666666666667,0,1,47170,0.4416,0.4935,400.0,0.22213271146915411,-0.0519,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,47820.0,0,6,1,4,36.0,18.0,8,3.283333333333333,0,1,47309,0.4868,0.5256,408.0,1.0,-0.038799999999999946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11,24123.0,0,7,0,6,64.0,0.0,3,2.4833333333333334,0,1,41900,0.4474,0.6203,400.0,0.575727923627685,-0.17289999999999994,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12,36911.0,1,12,2,10,77.0,16.0,15,3.783333333333333,0,1,36742,0.5325,0.5065,407.0,1.0,0.026000000000000023,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13,13468.0,0,14,0,7,57.0,2.0,10,3.0,0,1,47715,0.5065,0.6538,401.0,0.28225924761605364,-0.1473000000000001,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,45229.0,0,6,0,8,66.0,17.0,7,2.85,0,1,43651,0.4304,0.4231,401.0,1.0,0.007300000000000029,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,13371.0,0,9,0,10,63.0,11.0,5,3.083333333333333,0,1,47170,0.4416,0.4103,400.0,0.2834640661437354,0.031299999999999994,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,24318.0,1,15,0,7,57.0,15.0,13,3.75,0,1,41922,0.5263,0.5325,408.0,0.5800772863890081,-0.006199999999999983,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17,40638.0,0,9,1,6,42.0,21.0,5,3.083333333333333,0,1,38885,0.3289,0.4935,404.0,1.0,-0.16459999999999997,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,43332.0,0,11,0,14,73.0,0.0,10,2.9833333333333334,1,0,41168,0.5256,0.5263,409.0,1.0,-0.0007000000000000339,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,26271.0,1,17,0,6,56.0,9.0,11,3.283333333333333,0,1,41299,0.5065,0.4744,420.0,0.6361170972662776,0.03209999999999996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,40882.0,1,7,0,3,48.0,12.0,8,3.05,1,0,41649,0.6579,0.3718,400.0,0.9815841916972796,0.2861,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,21203.0,0,13,0,5,75.0,2.0,8,2.6833333333333336,0,1,41168,0.5256,0.5263,409.0,0.5150359502526234,-0.0007000000000000339,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
